annotator_id,article,vanilla,simple,cot,oracle,class,vanilla_mean,simple_mean,cot_mean,oracle_mean,class_mean,highlights
0,mpqa_30,"[5, 5, 3, 1, 5, 3, 5, 3, 1, 5, 1, 1, 5, 5, 5, 1, 1, 5, 3, 3, 1, 5, 5, 3, 5, 3, 1, 1]","[5, 5, 5, 3, 5, 1, 5, 1, 1, 5, 1, 1, 5, 3, 3, 1, 3, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5]","[5, 5, 5, 5, 5, 1, 5, 5, 5, 1, 1, 1, 5, 3, 3, 1, 1, 1, 1, 1, 1, 5, 5, 5, 3, 5, 1, 5]","[5, 5, 5, 3, 5, 1, 5, 5, 1, 5, 1, 1, 5, 3, 5, 1, 3, 1, 1, 1, 1, 1, 5, 5, 5, 5, 1, 5]","[5, 5, 5, 3, 5, 1, 5, 5, 3, 5, 1, 1, 5, 5, 3, 1, 3, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 5]",3.2142857142857144,3.142857142857143,3.2142857142857144,3.2142857142857144,3.4285714285714284,"['Zimbabwean President', 'food ', 'Opposition ', 'leader ', 'voting ', 'treason charges', ""Mugabe's grand strategy to target the MDC's supporter base"", 'farmers ', 'rural-area', '1.5 million', 'import supplies from South Africa', 'China, Argentina and Brazil', 'Mr. Mugabe', 'ZANU-PF card before they are allowed to buy from the Grain Marketing Board', 'cleansing', 'public confession', 'observation', 'beneficiaries ', 'government ministers', ', MPs, army and police officials', ""Mugabe's in-laws"", ""Canada and other countries for invoking sanctions against Mr. Mugabe's regime"", 'international community', 'support ', 'mass mobilization', 'necessary ', 'trial on a charge of treason, accused of plotting to have Mr. Mugabe assassinated', 'Tsvangirai ']"
0,allsides_race_and_racism_l_3,"[5, 5, 5, 5, 1, 3, 3, 5, 3, 3, 3, 5]","[5, 5, 5, 5, 1, 3, 3, 5, 5, 5, 5, 5]","[5, 5, 5, 5, 1, 3, 3, 5, 1, 1, 1, 5]","[5, 5, 5, 5, 1, 1, 1, 5, 1, 5, 1, 5]","[5, 5, 5, 1, 5, 1, 1, 5, 3, 3, 1, 5]",3.8333333333333335,4.333333333333333,3.3333333333333335,3.3333333333333335,3.3333333333333335,"['Racism is a public health crisis', 'police violence that kills black Americans', 'legacy of slavery and discrimination that persists in modern medicine and across the many social determinants of health', 'social determinants — otherwise known as the conditions in which we’re born and in which we live, work and play — are key drivers of health inequities', 'Floyd’s death, which has been ruled a homicide. That line of explanation, of course, is intended to deflect blame from the officers', 'disparities in job opportunities, income and inherited family wealth', 'less likely to have housing security and access to quality schools, healthy food and green spaces', 'racism itself is hard on a person’s health', 'Black and brown Americans make up a disproportionate number of essential workers who have stayed on the job through lockdowns', 'when they do fall ill, they are more likely to receive worse care than white Americans do. That’s true even when controlling for socioeconomic factors such as income and education', 'Black Americans are 75 percent more likely to live near a polluting facility', 'And all of us have a responsibility to acknowledge it and address it']"
1,mpqa_69,"[3, 5, 3, 1, 3, 5, 1, 1, 3]","[3, 5, 1, 2, 2, 5, 5, 1, 1]","[5, 3, 1, 3, 3, 3, 5, 1, 1]","[1, 5, 1, 3, 1, 3, 1, 1, 5]","[3, 5, 3, 5, 3, 5, 5, 1, 2]",2.7777777777777777,2.7777777777777777,2.7777777777777777,2.3333333333333335,3.5555555555555554,"['We cannot accept it by any means. It is very regrettable that the United States has taken a negative stand', 'Environmentalist groups staged a protest against the U.S. alternative to the Kyoto Protocol on curbing global warming', 'About 50 members of various Japanese and U.S. nongovernmental organizations (NGOs) opposed to the U.S. alternative to the 1997 pact', 'Ratify the Kyoto Protocol,"" and ""Koizumi say \'No\' to Bush: Stick to Kyoto Protocol.', 'concerned about climate change, were terribly dismayed by your new climate change plan', ""We think this plan cannot be an 'alternative' to Kyoto Protocol because it would allow the current greenhouse gas emissions of the United States to increase by around 30% compared to 1990 level in 2010"", 'The Kyoto Protocol is the only existing international framework to prevent dangerous climate change', ""Don't push the Japanese government or any other government to cooperate in your 'war against terrorism"", 'It also called on the U.S. to stop all air raids on Afghanistan, cease nuclear experiments and reduce U.S. military bases in Japan, among other requests']"
1,allsides_abortion_r_1,"[5, 5, 4, 2, 5, 2, 1, 2, 3, 1]","[5, 5, 4, 4, 1, 3, 1, 1, 2, 2]","[5, 4, 1, 3, 5, 1, 5, 1, 2, 2]","[5, 5, 5, 4, 5, 1, 1, 2, 5, 3]","[5, 2, 2, 3, 5, 5, 1, 1, 3, 4]",3.0,2.8,2.9,3.6,3.1,"['filed a lawsuit against seven East Texas towns that declared themselves ""sanctuary cities"" for unborn children', 'saying that their rights to free expression and association are violated by the pro-life ordinances', ""According to the ACLU of Texas' news release on the lawsuit, the ordinances in question contain language that would outlaw abortion altogether within city limits if the Supreme Court's ruling in Roe v. Wade is ever overturned"", 'misleads residents of these cities as to whether individuals can in fact exercise their right to access abortion', 'have dubbed abortion providers and pro-abortion entities as ""criminal organizations', 'As a result of being designated criminal, Plaintiffs are prohibited from operating, speaking, and associating within these cities', 'These ordinances are unconstitutional,""', 'Consequently, Plaintiffs are hampered from countering or clarifying the confusion created by the ordinances as to the legality of abortion services', 'Cities cannot punish pro-abortion organizations for carrying out their important work – especially when they do so in a way that violates the First Amendment.', 'We have a legal team ready to defend these ordinances at no charge to the cities, and we are prepared to defend all other cities that enact these laws at no charge to the taxpayers']"
2,mpqa_30,"[1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1]","[1, 5, 1, 3, 1, 2, 2, 2, 1, 1, 5, 1]","[1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1]","[5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5, 5, 5, 1, 5, 5, 2, 2, 1, 5, 5, 1]",2.0,2.0833333333333335,1.6666666666666667,2.0,3.5,"['ravaged', 'retribution', 'ZANU-', ' plagued', 'controversial', 'sympathizers', 'upheaval', 'purge', 'veterans,', 'invoking', 'sanctions', ' Montreal']"
2,allsides_abortion_r_1,"[5, 5, 5, 5, 5, 4, 2, 4, 4, 3]","[5, 5, 5, 5, 5, 5, 1, 5, 3, 5]","[5, 5, 3, 1, 5, 5, 1, 5, 5, 5]","[5, 5, 5, 5, 5, 5, 1, 5, 5, 3]","[5, 5, 2, 1, 5, 1, 1, 5, 3, 5]",4.2,4.4,4.0,4.4,3.3,"['litigation', 'sanctuary', 'ordinance', 'contends', ' ordinances', 'dubbed ', 'legislation', 'meritless', 'enactin', 'enacting']"
3,mpqa_42,"[5, 3, 3, 2]","[5, 4, 5, 5]","[5, 4, 1, 1]","[3, 5, 5, 3]","[5, 5, 5, 5]",3.25,4.75,2.75,4.0,5.0,"['a pack of blatant lies and propaganda', 'each country which resisted American hegemony was deemed a violator of human rights', 'the US was the only country in the world that had no respect for any religion, faith, norms, decency, human rights and rules', 'America wants total submission of Muslims across the globe']"
3,allsides_white_house_c_2,"[5, 3, 3]","[4, 5, 1]","[3, 3, 2]","[3, 1, 5]","[4, 5, 5]",3.6666666666666665,3.3333333333333335,2.6666666666666665,3.0,4.666666666666667,"['The Treasury Department also said that ""U.S. jurisdiction are blocked', 'The financial restrictions are outside the scope of the nuclear agreement', 'Tehran government\'s recent missile tests and support for rebels in Yemen. “Iran’s continued support for terrorism and development of its ballistic missile program poses a threat to the region, to our partners worldwide, and to the United States,""']"
4,mpqa_39,"[5, 4, 3, 1, 3, 5]","[5, 5, 1, 1, 3, 5]","[5, 4, 1, 1, 1, 4]","[5, 5, 2, 1, 1, 4]","[5, 5, 1, 1, 1, 5]",3.5,3.3333333333333335,2.6666666666666665,3.0,3.0,"['Tehran-based Islamic Human Rights Commission (IHRC) on Sunday expressed concern about return of the period in which force and weapon had the last say in international relations.', ""The IHRC called for prohibition of discrimination, torture, arbitrary detention and honoring the human rights, political rights, the rights of associations, the women's rights as well as the rights envisaged in the international declaration for human rights as recommended by the divine religions several centuries ago."", 'he IHRC said that the international conference against racism in Durban, South Africa August 31-September 7, 2001 was a turning point in the international campaign to honor human rights. ', 'The IHRC said that all nations and religions condemned the September 11 terrorist attacks on New York and Washington.', 'the ', 'Meanwhile, in another development, the Geneva-based United Nations High Commissioner for Human Rights Mary Robinson called on Israel to stop bombing the Palestinian targets in the West Bank and Gaza Strip and allow in international monitors']"
4,allsides_abortion_c_2,"[5, 5, 1, 3, 5, 1, 5]","[5, 2, 1, 1, 2, 1, 1]","[5, 3, 3, 1, 5, 4, 1]","[5, 2, 1, 1, 3, 2, 4]","[5, 3, 5, 3, 3, 2, 2]",3.5714285714285716,1.8571428571428572,3.142857142857143,2.5714285714285716,3.2857142857142856,"[""More than 180 CEOs have signed a letter opposing laws and regulations that restrict women's reproductive healthcare, including abortion"", 'The letter appears today as a full-page ad in The New York Times under the heading ""Don\'t Ban Equality,"" and comes less than a month after Alabama Gov. Kay Ivey signed the most restrictive abortion legislation in the U.S., banning doctors from performing abortion at any stage of pregnancy, punishable by 99 years in prison.', 'The law includes no exceptions for cases of rape or incest.', 'c', 'Twitter and Square CEO Jack Dorsey, along with fashion designer Rebecca Minkoff, Diane Von Furstenburg and CEOs from companies including Yelp, H&M, The Body Shop and Glossier, say they signed the letter to send a clear message that restricting access to reproductive care, including abortion, is ""against our values, and is bad for business.', 'A 2017 survey conducted by public relations firm Weber Shandwick found that 47% of millennials believe CEOs have a responsibility to speak up about issues that are important to society.', ""The letter that appears today in The Times was spearheaded by the American Civil Liberties Union (ACLU), Planned Parenthood Federation of America, NARAL Pro-Choice America and the Center for Reproductive Rights. These organizations have also partnered to launch DontBanEquality.com, a site where people can learn more about the group's mission and where CEOs can add their names to the letter. ""]"
